slno,Date,HS Code,Product Description,Consignee Name,Shipper Name,Consignee Address 1 ,Consignee Address 2,Shipper Address1 ,Shipper Address 2 ,Standard Qty,Standard Unit,Standard Unit Rate $,Tax %,Estimated CIF Value $,Unit Rate $,Port of Destination,Country of Origin,QTY,Unit,Rate In FC,Rate Currency,Tax $,Landed Value $,Month,HS2,HS4,Consignee City,Consignee Pincode,Consignee State,Consignee Phone,Consignee E-mail,Contact Person,Shipper City,Shipper Country,Notify Party,BL TYP,Shipment Mode,Port Of Origin,HS Description,Raw Consignee Name,Raw Shipper Name,Raw Consignee Add1,Raw Consignee Add2,Raw Shipper Address1,Raw Shipper Address2,Raw Consignee City,Raw Consignee Pincode,Raw Consignee State,Raw Consignee Phone,Raw Consignee E-mail,Record Id
0,01-06-2023,85258900,M320 IVCIII CAMERA - 4K 10449087  SPARE PARTS / ACCESSORIES / COMPONENT  FOR SURGICALMICROSCOPE ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,2101.58,30.97999721,2101.58,2101.58,Jnpt,Singapore,1,PCS,1928.67,EUR,639.33,2740.91,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Sea,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR ,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41162905
1,01-06-2023,85258900,16759732 FUJIFILM DIGITAL CAMERA F X-T30 II B/1545 KIT CD IMPORT LICENSE NO 21794 DATED 01.2.2021BIS R-41204595 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30 NASHIAZABU,2 CHOME MINATO -KUTOKYO JAPANSDNF",NA,2,NOS,505,18.00001637,1010,505,Bombay Air,China,2,NOS,40906,INR,178.53,1188.53,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30 NASHIAZABU,2 CHOME MINATO -KUTOKYO JAPANSDNF",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,40910267
2,01-06-2023,85258900,16670041 FUJIFILM DIGITAL CAMERA F X-S10 CD LICENSE NO.TA-SD-20201006973BIS R-41204595 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30 NASHIAZABU,2 CHOME MINATO -KUTOKYO JAPANSDNF",NA,12,NOS,505,17.99999767,6060,505,Bombay Air,China,12,NOS,40906,INR,1090.8,7150.8,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30 NASHIAZABU,2 CHOME MINATO -KUTOKYO JAPANSDNF",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,40910266
3,01-06-2023,85258900,M320 IVCIII CAMERA - 4K 10449087  SPARE PARTS / ACCESSORIES / COMPONENT  FOR SURGICALMICROSCOPE ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,2101.58,30.97999721,2101.58,2101.58,Jnpt,Singapore,1,PCS,1928.67,EUR,639.33,2740.91,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Sea,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR ,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41162884
4,01-06-2023,85258900,16670041 FUJIFILM DIGITAL CAMERA F X-S10 CD LICENSE NO.TA-SD-20201006973BIS R-41204595 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,12,NOS,501.147,17.99999119,6013.76,501.15,Delhi Air,China,12,NOS,40906,INR,1082.47,7096.23,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,41654246
5,01-06-2023,85258900,M320 IVCIII CAMERA - 4K 10449087  SPARE PARTS / ACCESSORIES / COMPONENT  FOR SURGICALMICROSCOPE ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,2101.58,30.97999721,2101.58,2101.58,Jnpt,Singapore,1,PCS,1928.67,EUR,639.33,2740.91,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Sea,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR ,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41162952
6,01-06-2023,85258900,M320 IVCIII CAMERA - 4K 10449087  SPARE PARTS / ACCESSORIES / COMPONENT  FOR SURGICALMICROSCOPE ,DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR / DUETSCHLAND  DE,NA,1,NOS,2101.58,30.97999721,2101.58,2101.58,Jnpt,Singapore,1,PCS,1928.67,EUR,639.33,2740.91,Jun-2023,85,8525,DELHI,110015,DELHI,NA,amit.jain@danaher.com,JAI SHANKAR KRISHNAN               ,NA,NA,NA,HC,Sea,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",DHR HOLDING INDIA PRIVATE LIMITED,LEICA MIKROSYSTEME VERTRIEB GMBH -DSA,"UNIT NO 325 TO 328 DLF TOWERS,SHIV AJI MARG",NA,ERNST-LEITZ-STRASSE 17-3735578 WETZLAR ,NA,DELHI,110015,DELHI,NA,amit.jain@danaher.com,41162936
7,01-06-2023,85258900,16759768 FUJIFILM DIGITAL CAMERA F X-T30 II S/1545 KIT CD IMPORT LICENSE NO 21794 DATED 01.2.2021BIS R-41204595 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,4,NOS,501.145,18.00001148,2004.58,501.15,Delhi Air,China,4,NOS,40906,INR,354.32,2358.9,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,41654248
8,01-06-2023,85258900,16759732 FUJIFILM DIGITAL CAMERA F X-T30 II B/1545 KIT CD IMPORT LICENSE NO 21794 DATED 01.2.2021BIS R-41204595 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,2,NOS,501.145,18.00001148,1002.29,501.15,Delhi Air,China,2,NOS,40906,INR,177.16,1179.45,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30, NISHIAZABU 2-CHOME MINATO-KUTOKYO 106-8620, JAPAN ",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,41654247
9,01-06-2023,85258900,16759768 FUJIFILM DIGITAL CAMERA F X-T30 II S/1545 KIT CD IMPORT LICENSE NO 21794 DATED 01.2.2021BIS R-41204595 ,FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30 NASHIAZABU,2 CHOME MINATO -KUTOKYO JAPANSDNF",NA,4,NOS,505,18.00001744,2020,505,Bombay Air,China,4,NOS,40906,INR,357.04,2377.04,Jun-2023,85,8525,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,MASAKI  ZENKO,NA,NA,NA,HC,Air,Not Available,"Transmission apparatus for radio-telephony, radio-telegraph, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; Television cameras; still-mage video cameras and other video camer",FUJIFILM INDIA PRIVATE LIMITED,FUJIFILM CORPORATION,"BUSINESS CENTRE OFF NO 521 LEVEL V ,CADDIE COMMC TOWER HOSPITALITY DISAEROCITY IGI AIRPORT,",NA,"26-30 NASHIAZABU,2 CHOME MINATO -KUTOKYO JAPANSDNF",NA,NEW DELHI,110037,DELHI,NA,amit.kumar@fujifilm.com,40910268
